id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,112243.0,2235230562721,1,2235230562721,40642173335.0,112466.0,110443.0,921.74,0.828,18568576622.0,0.83768,19915362.0,19915362.0,21000000.0,124128.0,-9.53306,2025-08-14T00:37:02.582Z,67.81,165504.63552,2013-07-06T00:00:00.000Z,,2025-09-03T15:06:53.838Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,4464.04,538915259534,2,538915259534,31282746616.0,4477.16,4265.15,138.47,3.20123,14480179856.0,2.7611,120705395.8646412,120705395.8646412,,4946.05,-9.63827,2025-08-24T19:21:03.333Z,0.432979,1032129.39123,2015-10-20T00:00:00.000Z,"{'times': 52.175510216636575, 'currency': 'btc', 'percentage': 5217.551021663658}",2025-09-03T15:06:54.717Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.87,170930943344,3,287323804415,6051790554.0,2.88,2.79,0.04319557,1.52705,2277756996.0,1.35056,59482264023.0,99985819185.0,100000000000.0,3.65,-21.166,2025-07-18T03:40:53.808Z,0.00268621,106912.82338,2014-05-22T00:00:00.000Z,,2025-09-03T15:06:47.939Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,168176864365,4,168176864365,82077393767.0,1.0,0.999964,6.43e-05,0.00643,137613151.0,0.08189,168142538568.9107,168142538568.9107,,1.32,-24.40471,2018-07-24T00:00:00.000Z,0.572521,74.70063,2015-03-02T00:00:00.000Z,,2025-09-03T15:06:49.257Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,861.25,119920380606,5,119920380606,887345440.0,863.32,846.41,12.45,1.4668,1766739516.0,1.49529,139187666.68,139187665.65,200000000.0,899.77,-4.2206,2025-08-22T23:42:55.728Z,0.0398177,2164248.86912,2017-10-19T00:00:00.000Z,,2025-09-03T15:06:55.976Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,212.11,114759786202,6,129154286102,8778712709.0,212.41,200.09,8.74,4.29641,4557245672.0,4.13534,541037066.6433144,608900194.1329542,,293.31,-27.71922,2025-01-19T11:15:27.957Z,0.500801,42233.79828,2020-05-11T19:35:23.449Z,,2025-09-03T15:06:48.208Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.99981,72008351488,7,72052314059,9546682092.0,0.999906,0.999701,4.357e-05,0.00436,240198377.0,0.33469,72022037267.43015,72066008193.44524,,1.17,-14.74348,2019-05-08T00:40:28.300Z,0.877647,13.91925,2023-03-11T08:02:13.981Z,,2025-09-03T15:06:49.899Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,4452.75,38640559685,8,38640643350,43517819.0,4467.21,4256.07,130.23,3.0129,1004863147.0,2.66997,8677911.118296254,8677929.907778127,,4932.89,-9.67373,2025-08-24T19:21:31.902Z,482.9,822.70321,2020-12-22T04:08:21.854Z,,2025-09-03T15:06:48.045Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.218982,32996009684,9,33004782437,1690514778.0,0.219212,0.209604,0.00682474,3.21682,937387972.0,2.92398,150748586383.7051,150788876383.7052,,0.731578,-70.074,2021-05-08T05:08:23.458Z,8.69e-05,251824.71062,2015-05-06T00:00:00.000Z,,2025-09-03T15:06:59.082Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.341131,32290571926,10,32290576815,749501652.0,0.341269,0.336319,0.00262946,0.77679,238862408.0,0.74524,94660345886.83081,94660360220.9064,,0.431288,-20.92669,2024-12-04T00:10:40.323Z,0.00180434,18800.74262,2017-11-12T00:00:00.000Z,"{'times': 178.54250636434617, 'currency': 'usd', 'percentage': 17854.250636434615}",2025-09-03T15:06:49.239Z
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.840624,30668333408,11,37815908124,1307746962.0,0.841238,0.808748,0.02128995,2.59844,719976369.0,2.40406,36494561993.5479,45000000000.0,45000000000.0,3.09,-72.77286,2021-09-02T06:00:10.474Z,0.01925275,4265.49434,2020-03-13T02:22:55.044Z,,2025-09-03T15:06:57.090Z
wrapped-steth,wsteth,Wrapped stETH,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,5400.43,17050124399,12,17050124399,116730504.0,5419.62,5163.48,141.0,2.68099,374323533.0,2.24471,3154069.571964395,3154069.571964395,,7256.02,-25.49973,2022-05-13T15:09:54.509Z,558.54,867.83646,2022-05-13T01:36:45.053Z,,2025-09-03T15:06:49.941Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,23.73,16085676152,13,23721688325,917038137.0,23.76,22.86,0.557685,2.40693,368114207.0,2.34206,678099970.4527868,1000000000.0,1000000000.0,52.7,-54.97167,2021-05-10T00:13:57.214Z,0.148183,15912.87961,2017-11-29T00:00:00.000Z,,2025-09-03T15:06:57.384Z
wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,https://coin-images.coingecko.com/coins/images/30061/large/wbeth-icon.png?1696528983,4805.42,14739214221,14,14739214221,3038191.0,4821.81,4596.05,142.33,3.05233,378814485.0,2.63791,3064163.235295992,3064163.235295992,,5330.78,-9.88397,2025-08-24T19:27:46.809Z,1501.6,219.91771,2025-04-09T03:57:40.245Z,,2025-09-03T15:06:49.804Z
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,112121.0,14264629959,15,14264629959,394225750.0,112426.0,110124.0,706.2,0.63385,84888575.0,0.59866,127237.25872278,127237.25872278,127237.25872278,123882.0,-9.37515,2025-08-14T00:40:53.782Z,3139.17,3476.33892,2019-04-02T00:00:00.000Z,,2025-09-03T15:06:50.106Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,12519589132,16,12523558141,207603151.0,1.003,0.998254,-0.001292989119372923,-0.12907,53258342.0,0.42722,12516225704.86257,12520193647.07257,,1.032,-3.06494,2023-12-20T15:38:34.596Z,0.929486,7.63469,2024-10-04T07:57:15.809Z,,2025-09-03T15:06:59.948Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,45.94,12449919756,17,45971600437,309505222.0,46.07,43.8,1.37,3.06948,392543076.0,3.25563,270772999.4341414,999835210.4341414,1000000000.0,50.99,-9.65614,2025-08-27T05:21:21.941Z,3.81,1109.442,2024-11-29T09:30:30.871Z,,2025-09-03T15:06:55.931Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.006,12242531567,18,12242531567,15512927.0,1.007,0.987949,0.0176379,1.78531,198576998.0,1.64877,12174518619.007,12174518619.007,,1.056,-4.80086,2025-08-30T12:40:04.527Z,0.987799,1.80074,2025-08-30T16:00:13.189Z,,2025-09-03T15:07:00.371Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.39,12107828221,19,33926568781,991257486.0,3.4,3.22,0.126514,3.87346,433972267.0,3.71747,3568833706.322776,10000000000.0,10000000000.0,5.35,-36.54174,2025-01-04T22:56:18.063Z,0.364846,829.93638,2023-10-19T10:40:30.078Z,,2025-09-03T15:06:48.850Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,4784.65,12054123925,20,12054123925,36427382.0,4801.7,4570.38,127.54,2.73857,313747746.0,2.67238,2516939.775432544,2516939.775432544,,5296.78,-9.66872,2025-08-24T19:25:19.771Z,1505.24,217.86726,2025-04-09T03:45:31.391Z,,2025-09-03T15:06:49.932Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,602.69,12005523178,21,12005523178,470727479.0,604.75,573.49,23.03,3.97248,437985244.0,3.78633,19920412.39665078,19920412.39665078,21000000.0,3785.82,-84.07729,2017-12-20T00:00:00.000Z,76.93,683.52748,2018-12-16T00:00:00.000Z,,2025-09-03T15:06:55.768Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.367614,11660035551,22,18375408790,208377003.0,0.368431,0.358528,0.00518478,1.43056,274267041.0,2.40886,31728415914.7263,50001786886.69552,50001786886.69552,0.875563,-58.01664,2018-01-03T00:00:00.000Z,0.00047612,77104.9465,2015-03-05T00:00:00.000Z,,2025-09-03T15:06:48.483Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,25.36,10705924141,23,11613617867,783101970.0,25.43,23.63,1.5,6.27369,626440838.0,6.21501,422276596.0335201,458078999.632708,720000000.0,144.96,-82.5062,2021-11-21T14:18:56.538Z,2.8,805.3426,2020-12-31T13:15:21.540Z,,2025-09-03T15:07:00.938Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,4462.16,9981729092,24,9981729092,486625126.0,4478.55,4264.45,110.06,2.52887,421316394.0,4.40689,2234637.556544625,2234637.556544625,,4950.08,-9.69941,2025-08-24T19:28:11.411Z,82.1,5344.29137,2018-12-15T00:00:00.000Z,,2025-09-03T15:06:50.368Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.222566,9432822893,25,11125467705,205060385.0,0.223106,0.211837,0.00807268,3.76361,312649272.0,3.42811,42392927394.96004,50000000000.0,50000000000.0,0.569229,-60.86742,2021-09-15T10:40:28.318Z,0.00986111,2158.91367,2020-01-02T17:30:24.852Z,,2025-09-03T15:06:55.687Z
